phase,epoch,accuracy,val_accuracy,loss,val_loss,lr
phase1,1,0.8219712972640991,0.8877374529838562,0.08965668827295303,0.03979744017124176,0.0010000000474974513
phase1,2,0.8661336302757263,0.9084628820419312,0.06313083320856094,0.03628451004624367,0.0010000000474974513
phase1,3,0.8739655017852783,0.8877374529838562,0.05959399789571762,0.043459247797727585,0.0010000000474974513
phase1,4,0.8800673484802246,0.8760794401168823,0.05638960748910904,0.043206386268138885,0.0010000000474974513
phase1,5,0.8834806084632874,0.9028497338294983,0.05521326884627342,0.03445608168840408,0.0010000000474974513
phase1,6,0.8871978521347046,0.8803972601890564,0.053877945989370346,0.046922117471694946,0.0010000000474974513
phase1,7,0.888086199760437,0.9231433272361755,0.05277855321764946,0.03209187462925911,0.0010000000474974513
phase1,8,0.8921307325363159,0.9041450619697571,0.05254928022623062,0.034666743129491806,0.0010000000474974513
phase1,9,0.8924580216407776,0.9024179577827454,0.05246509611606598,0.04115061089396477,0.0010000000474974513
phase1,10,0.8910552859306335,0.8436959981918335,0.05376696586608887,0.0669051930308342,0.0005000000237487257
phase1,11,0.9086594581604004,0.8890328407287598,0.0432380773127079,0.05010944977402687,0.0005000000237487257
phase1,12,0.9100388288497925,0.9283246994018555,0.042426228523254395,0.028496773913502693,0.0005000000237487257
phase1,13,0.9127975106239319,0.9257340431213379,0.04060611501336098,0.032630402594804764,0.0005000000237487257
phase1,14,0.913989782333374,0.9028497338294983,0.03907698765397072,0.042817313224077225,0.0005000000237487257
phase1,15,0.9128442406654358,0.9244387149810791,0.04086486995220184,0.029628997668623924,0.0002500000118743628
phase2,1,0.9049422740936279,0.9417098164558411,0.046514686197042465,0.024875396862626076,9.999999747378752e-06
phase2,2,0.9190162420272827,0.9386873841285706,0.038456790149211884,0.027753125876188278,9.980072718462907e-06
phase2,3,0.9269649982452393,0.9529361128807068,0.03446410596370697,0.020209455862641335,9.920451702782884e-06
phase2,4,0.9342123866081238,0.9270293712615967,0.031123928725719452,0.031868744641542435,9.821616004046518e-06
phase2,5,0.9383971691131592,0.951640784740448,0.028937282040715218,0.02043965458869934,9.684362339612562e-06
phase2,6,0.944639265537262,0.9512090086936951,0.026023827493190765,0.021539635956287384,9.50979574554367e-06
phase2,7,0.9490812420845032,0.9637305736541748,0.0245578084141016,0.017837539315223694,9.29932139115408e-06
phase2,8,0.9518632888793945,0.9555267691612244,0.023018596693873405,0.020536871626973152,9.054634574567899e-06
phase2,9,0.9551830291748047,0.9620034694671631,0.021230848506093025,0.017776353284716606,8.777703442319762e-06
phase2,10,0.9573339223861694,0.9594127535820007,0.020541638135910034,0.019007233902812004,8.47075989440782e-06
phase2,11,0.959110677242279,0.9550949931144714,0.01899978704750538,0.022828320041298866,8.136274118442088e-06
phase2,12,0.9610511064529419,0.9158031344413757,0.018701724708080292,0.03354792669415474,7.776940037729219e-06
phase2,13,0.9637864232063293,0.9507771730422974,0.01716618798673153,0.019665071740746498,7.395649845420849e-06
phase2,14,0.9646280407905579,0.9365285038948059,0.01735423505306244,0.027516521513462067,6.995473995630164e-06
